source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,url
Donald J. Trump,,"2,ч.",A vote against the National Emergency is a vote for OPEN BORDERS!,"9,8 тыс.","7,5 тыс.",231,383,198,139,"1,3 тыс.",Комментарии: 2 537,/story.php?story_fbid=10162276678840725&id=153080620724
Donald J. Trump,,"4,ч.","Wow! The AFL-CIO is opposing the radical Democrat's Green New Deal. Paychecks under my presidency are going up and 2018 was the best year for growing manufacturing jobs in two decades!Ух ты! "" Всл-дит "" выступает против "" зеленой новой сделки "" радикальных демократов. Зарплата под моим председательством поднимается и 2018 год был лучшим годом для роста производственных рабочих мест за два десятилетия!",10 тыс.,"8,5 тыс.",274,"1,3 тыс.",60,4,24,Комментарии: 1 007,/story.php?story_fbid=10162275887300725&id=153080620724
Donald J. Trump,,"8,ч.","A big National Emergency vote today by The United States Senate on Border Security & the Wall (which is already under major construction). I am prepared to veto, if necessary. The Southern Border is a National Security and Humanitarian Nightmare, but it can be easily fixed!",49 тыс.,43 тыс.,610,"5,9 тыс.",45,16,107,Комментарии: 6 719,/story.php?story_fbid=10162275539430725&id=153080620724
Donald J. Trump,,"6,ч.",My 2020 budget request reflects my pledge to promote the interests of American working families!,"8,2 тыс.","6,8 тыс.",219,"1,1 тыс.",15,6,40,Комментарии: 1 186,/story.php?story_fbid=10162274737875725&id=153080620724
Donald J. Trump,,"5,ч.",I am issuing an emergency order grounding all flights of the Boeing 737 MAX 8 & MAX 9 airplanes. Safety is my highest priority!,16 тыс.,14 тыс.,195,"1,5 тыс.",141,22,26,Комментарии: 1 963,/story.php?story_fbid=10162275905640725&id=153080620724
Donald J. Trump,,"13,марта,в,16:33","President Donald J. Trump’s schedule for Wednesday, March 13th: -Receive intelligence briefing  -Receive a briefing on drug trafficking on the Southern Border  -Meet with Republican Members of the Senate on Trade  -Participate in a photo opportunity with the 2019 Spring White House Internship Class",10 тыс.,"8,8 тыс.",252,"1,2 тыс.",29,8,24,Комментарии: 1 517,/story.php?story_fbid=10162273152645725&id=153080620724
Donald J. Trump,,"13,марта,в,21:02",The only thing Democrats care about is obstructing and resisting. They refuse to deliver for the AMERICAN PEOPLE!,"7,8 тыс.","6,8 тыс.",176,624,37,70,99,Комментарии: 1 218,/story.php?story_fbid=10162273442345725&id=153080620724
Donald J. Trump,,"9,ч.","President Donald J. Trump's schedule for Thursday, March 14th: -Meet with the Prime Minister of Ireland -Participate in the Friends of Ireland Luncheon at the U.S. Capitol -Participate in the Shamrock Bowl Presentation at The White House","8,6 тыс.","7,4 тыс.",175,1 тыс.,12,5,11,Комментарии: 1 032,/story.php?story_fbid=10162274732140725&id=153080620724
Donald J. Trump,,"13,марта,в,18:12","""In particular, special adviser and first daughter Ivanka Trump has been pushing the policy since the 2016 presidential campaign, and she renewed her efforts after the president mentioned it in his State of the Union address this year.""",11 тыс.,10 тыс.,259,"1,1 тыс.",39,24,78,Комментарии: 1 340,/story.php?story_fbid=10162273370040725&id=153080620724
Donald J. Trump,,"13,марта,в,03:26",My proposed 2020 budget reflects my commitment to defend the great people of our country!,18 тыс.,15 тыс.,346,"2,6 тыс.",56,18,85,Комментарии: 2 517,/story.php?story_fbid=10162271603440725&id=153080620724
Donald J. Trump,,"12,марта,в,22:39",I am totally on board!,114 тыс.,100 тыс.,"1,9 тыс.",11 тыс.,200,121,347,Комментарии: 11 227,/story.php?story_fbid=10162270654270725&id=153080620724
Donald J. Trump,,"12,марта,в,15:04","President Donald J. Trump’s schedule for Tuesday, March 12th: -The President is presented with the Boy Scouts’ Report to the Nation -Participate in a signing ceremony of The John D. Dingell, Jr. Conservation, Management, and Recreation Act",10 тыс.,9 тыс.,241,"1,2 тыс.",28,3,28,Комментарии: 1 430,/story.php?story_fbid=10162269445060725&id=153080620724
Donald J. Trump,,"12,марта,в,18:17","The Trump economy is HOT, and voters are taking notice!",14 тыс.,12 тыс.,428,"1,8 тыс.",31,7,36,Комментарии: 1 744,/story.php?story_fbid=10162267013165725&id=153080620724
Donald J. Trump,,"12,марта,в,20:08",The wall is well under construction and being built as we speak!,100 тыс.,84 тыс.,"1,9 тыс.",13 тыс.,315,37,142,Комментарии: 7 157,/story.php?story_fbid=10162267822550725&id=153080620724
Donald J. Trump,,"12,марта,в,20:58",Today is the last day to order your St. Paddy’s Day Limited Edition Hat in time for St. Patrick’s Day! Shop here NOW: https://shop.donaldjtrump.com/products/st-paddys-maga-hat-2019,16 тыс.,13 тыс.,965,2 тыс.,81,16,81,Комментарии: 2 491,/story.php?story_fbid=10162270288995725&id=153080620724
Donald J. Trump,,"12,марта,в,03:46",My budget request promotes responsible Government spending by prioritizing effective programs and eliminating wasteful programs!,11 тыс.,"9,2 тыс.",309,"1,6 тыс.",35,7,65,Комментарии: 2 182,/story.php?story_fbid=10162267972895725&id=153080620724
Donald J. Trump,,"11,марта,в,19:52","""Chief executives of major companies said at a White House forum on Wednesday that they are hiring more Americans without college degrees as they search to find increasingly scarce applicants for open jobs."" GREAT news!",45 тыс.,40 тыс.,466,"3,9 тыс.",255,11,44,Комментарии: 3 656,/story.php?story_fbid=10162266367310725&id=153080620724
Donald J. Trump,,"12,марта,в,01:31","My 2020 Federal budget is fiscally responsible and pro-American. More importantly, it will help American families!",21 тыс.,17 тыс.,512,"3,1 тыс.",72,14,94,Комментарии: 2 312,/story.php?story_fbid=10162267530290725&id=153080620724
Donald J. Trump,,"11,марта,в,22:46",The Democrat Party needs to treat Israel with much more RESPECT!,33 тыс.,28 тыс.,1 тыс.,"3,4 тыс.",204,380,411,Комментарии: 4 732,/story.php?story_fbid=10162266722815725&id=153080620724
Donald J. Trump,,"11,марта,в,23:39",I am keeping my promises for the American people!,60 тыс.,49 тыс.,993,10 тыс.,96,16,95,Комментарии: 5 485,/story.php?story_fbid=10162266731410725&id=153080620724
Donald J. Trump,,"11,марта,в,18:13","This week I put AMERICA FIRST and worked to better the lives of our great Veterans. Together, our country's future is unlimited!",14 тыс.,12 тыс.,308,2 тыс.,22,8,33,Комментарии: 1 687,/story.php?story_fbid=10162261702690725&id=153080620724
Donald J. Trump,,"10,марта,в,18:51","For the first time in many decades, Americans have a president that is standing up for them!",38 тыс.,32 тыс.,744,"5,6 тыс.",49,15,49,Комментарии: 3 567,/story.php?story_fbid=10162237667815725&id=153080620724
Donald J. Trump,,"10,марта,в,22:47","""As outlined in its National Security Strategy (NSS), the Trump administration is a strong advocate of the idea that the United States can be a catalyst, by creating conditions for bottom-up positive transformations in other societies rather than by imposing top-down change.""",17 тыс.,15 тыс.,428,2 тыс.,67,8,46,Комментарии: 2 314,/story.php?story_fbid=10162262906340725&id=153080620724
Donald J. Trump,,"10,марта,в,04:05",My administration is taking BURDENSOME REGULATIONS off the backs of hard-working American patriots!,20 тыс.,16 тыс.,347,"2,9 тыс.",37,7,76,Комментарии: 2 388,/story.php?story_fbid=10162237639395725&id=153080620724
Donald J. Trump,,"10,марта,в,21:32",We will not allow the FAKE NEWS to get in the way of our tremendous success. MAKE AMERICA GREAT AGAIN!,49 тыс.,41 тыс.,1 тыс.,"6,5 тыс.",81,47,106,Комментарии: 4 669,/story.php?story_fbid=10162254711955725&id=153080620724
Donald J. Trump,,"10,марта,в,00:04",Our economy is BOOMING since my election!,38 тыс.,31 тыс.,857,"5,6 тыс.",82,8,57,Комментарии: 3 694,/story.php?story_fbid=10162237684715725&id=153080620724
Donald J. Trump,,"9,марта,в,01:13","""The Democratic Party's ill-fated attempt to stop President Donald Trump's emergency declaration calls into question whether liberal politicians in Washington actually care about protecting Americans from violent crime.""",22 тыс.,14 тыс.,335,294,272,"2,7 тыс.","4,8 тыс.",Комментарии: 4 379,/story.php?story_fbid=10162253922240725&id=153080620724
Donald J. Trump,,"9,марта,в,03:31",Alabama has an entire nation behind them. God bless you all. We love you!,51 тыс.,39 тыс.,125,"7,5 тыс.",224,"4,4 тыс.",37,Комментарии: 2 897,/story.php?story_fbid=10162255175925725&id=153080620724
Donald J. Trump,,"9,марта,в,04:52","JOBS, JOBS, JOBS!Рабочие места, рабочие места, рабочие места!",25 тыс.,21 тыс.,418,"3,6 тыс.",126,9,32,Комментарии: 2 622,/story.php?story_fbid=10162255461545725&id=153080620724
Donald J. Trump,,"9,марта,в,19:05",My proven record of conservatism has led to MASSIVE support for my re-election by Republicans. Our party is united!,21 тыс.,17 тыс.,563,"3,1 тыс.",38,5,46,Комментарии: 2 623,/story.php?story_fbid=10162254522090725&id=153080620724
